brand,time,context,detection_type,matched_variant
Majestic RP,771.959,зайти на любой серверов maes потому что...,подлежащие_нормализации,maes
Majestic RP,793.079,поверь это не главная фишка маджестика...,подлежащие_нормализации,маджестик
LitEnergy,4564.4,чего Ладно я делаю глоток L Energy И...,подлежащие_нормализации,l energy
Majestic RP,729.6,Добро пожаловать на magestic RP...,подлежащие_нормализации,magestic
Majestic RP,770.92,Majestic RP Будьте готовы равшик...,прямое_совпадение,
LitEnergy,776.36,баночку Lit Energy пока ты её держишь...,подлежащие_нормализации,lit energy
Алиса,2356.359,Алиса записала Алиса есть у тебя Ну чаме...,прямое_совпадение,
LitEnergy,80.88,именно За регистрацию банок L Energy в...,подлежащие_нормализации,l energy
Сбер,602.64,были встретиться у Сбербанка зачем вы...,подлежащие_нормализации,сбербанк
Сбер,604.839,хотели Сбербанк найти посчитать деньги...,подлежащие_нормализации,сбербанк
Сбер,670.6,быстрее Ну всё произошло в Сбербанке...,подлежащие_нормализации,сбербанк
Сбер,792.68,около сбера зайти внутрь сделать...,подлежащие_нормализации,сбера
Majestic RP,847.36,пользователей недавно на magestic RP...,подлежащие_нормализации,magestic
Majestic RP,906.6,мажестик РП обязательно вводите мой...,подлежащие_нормализации,мажестик
Majestic RP,915.759,дней подписки magestic Premium Играйте и...,подлежащие_нормализации,magestic
Сбер,1085.919,Сбербанке посчитать деньги отдам Мне...,подлежащие_нормализации,сбербанк
LitEnergy,1392.919,бодрящий праздник линер...,подлежащие_нормализации,линер
LitEnergy,1428.24,предоставляю вам дорогие друзья тенер же...,подлежащие_нормализации, тенер 
LitEnergy,1460.279,любым вкусом L Energy все условия чтобы...,подлежащие_нормализации,l energy
Сбер,2410.359,Сбербанке мы напишем сумму и подпишем...,подлежащие_нормализации,сбербанк
Contented,2657.44,на кон не буду ставить но я готов здесь...,подлежащие_нормализации, кон 
LitEnergy,101.56,L Energy и хотелось бы вас искренне...,подлежащие_нормализации,l energy
LitEnergy,227.519,запускал бизнес Le Energy для нас с...,подлежащие_нормализации,energy
LitEnergy,2657.4,на energ это жёстко energ...,подлежащие_нормализации,energ
LitEnergy,2661.92,доске ты голо дома не пол energ почему...,подлежащие_нормализации,energ
LitEnergy,2758.559,фамилия Energy сделай бра бомба же Ну...,подлежащие_нормализации,energy
LitEnergy,2785.599,Ты что сделаем сделаем Давай Lit Energy...,подлежащие_нормализации,lit energy
LitEnergy,2787.92,к доске L Energy там Выйди там Расскажи...,подлежащие_нормализации,l energy
LitEnergy,2790.44,там Т Energy Почему опоздал если ты это...,подлежащие_нормализации,energy
LitEnergy,2814.52,а т Energy Всё молодец молодец всё И...,подлежащие_нормализации,energy
Телеграм,2821.599,месяца одобряется у себя в телеграме я...,подлежащие_нормализации,телеграм
LitEnergy,3195.88,увидеть Наш новый продукт от Energy...,подлежащие_нормализации,energy
LitEnergy,3266.76,персиковый Lit Energy теперь я вам...,подлежащие_нормализации,lit energy
LitEnergy,3271.16,нашей истории Lit Energy и здесь ребята...,подлежащие_нормализации,lit energy
Пятёрочка,3285.68,только в Пятёрочке 1.200 000 пачек прямо...,подлежащие_нормализации,пятёрочке
Majestic RP,457.599,полететь мажестик буквально со всех...,подлежащие_нормализации,мажестик
